"","sample","total_peaks","aveOtoC","aveHtoC","CHO","CHON","CHOS","CHOP","CHONS","CHONP","CHOSP","CHONSP","Molecular_NA","Lipids","UnSaturated_Hydrocarbons","Condensed_Hydrocarbons","Proteins","Amino_Sugars","Carbohydrates","Lignin","Tannins","Compounds_NA","Aliphatics","AliphaticsN","Saturated","Condensed_Aromatics","Aromatic","LigninPhenolics","Aromaticity_NA"
"1","X.out11.",4,0.0203761755485893,0.0266457680250784,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
"2","X.out12.",3,0.0190700104493208,0.0138453500522466,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
"3","X.out13.",2,0.0184169278996865,0.0199843260188088,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"4","X.out14.",1,0.0188087774294671,0.0297805642633229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"5","X.out15.",3,0.0177638453500522,0.014367816091954,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
"6","X.out16.",1,0.0188087774294671,0.0297805642633229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"7","X.out18.",2,0.0192006269592477,0.0137147335423197,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"8","X.out19.",1,0.018025078369906,0.0195924764890282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"9","X.out21.",7,0.0182489923869234,0.0334751455441111,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0
"10","X.out22.",3,0.0190700104493208,0.0308254963427377,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
"11","X.out23.",5,0.0183385579937304,0.0225705329153605,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
"12","X.out24.",2,0.0188087774294671,0.030564263322884,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"13","X.out25.",4,0.018025078369906,0.0246865203761755,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
"14","X.out26.",1,0.018025078369906,0.0282131661442006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"15","X.out27.",1,0.0188087774294671,0.0297805642633229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"16","X.out28.",2,0.018025078369906,0.0313479623824451,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"17","X.out29.",3,0.0182863113897597,0.0313479623824451,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
"18","X.out3.",1,0.018025078369906,0.0156739811912226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"19","X.out30.",1,0.0188087774294671,0.0297805642633229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"20","X.out31.",5,0.0175548589341693,0.0260188087774295,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
"21","X.out32.",4,0.0178291536050157,0.0205721003134796,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
"22","X.out33.",2,0.018025078369906,0.0227272727272727,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
